TradingDate,TradingTime,OpenPrice,ClosePrice,HighPrice,LowPrice,Change,Volume,sma5,sma10,sma20,sma30,sma60,BOLLupper,BOLLmiddle,BOLLlower,MACD_macd,MACD_macdsignal,MACD_macdhist,rsi,cci,WR,KDJk,KDJd,KDJj,volumeRatio,ChangeRatio,label
20220104,40:00.0,4850.4,4850.8,4851,4850.2,0.4,15,4851.68,4850.2,4853.92,4855.573333,4871.626667,4854.454617,4851.238657,4848.022697,-4.374586513,-5.205094844,0.830508331,41.08761208,-28.93605216,-64.38356164,51.03729604,60.07219632,32.96749547,26.66025641,-0.0004,1
20220104,41:00.0,4850.6,4849,4850.6,4848.2,-1.8,59,4851.48,4850.06,4853.62,4855.006667,4870.763333,4854.189788,4850.492438,4846.795087,-4.302967215,-5.024669318,0.721702103,39.04241917,-50.96700796,-76.05633803,29.82517483,46.88681689,-4.298109298,26.76357827,-0.0007,1
20220104,42:00.0,4848.2,4850,4850,4847.6,1,38,4850.84,4850.42,4853.45,4854.56,4869.803333,4853.707286,4850.328292,4846.949298,-4.118046487,-4.843344752,0.725298265,40.80528196,-47.42547425,-69.01408451,28.99184149,36.61810412,13.73931624,26.79936306,-0.0002,1
20220104,43:00.0,4850.8,4849.4,4850.8,4848.8,-0.6,13,4849.92,4850.62,4853.07,4854.34,4868.926667,4851.323622,4850.018861,4848.714101,-3.974099517,-4.669495705,0.695396188,40.0567634,-22.13582167,-66.66666667,25.87513062,28.23071564,21.16396056,26.75555556,-0.0001,0
20220104,44:00.0,4848.6,4847.6,4850,4847.6,-1.8,23,4849.36,4850.24,4852.47,4854.046667,4867.986667,4851.350236,4849.212574,4847.074912,-3.959621413,-4.527520846,0.567899434,37.81565063,-64.57564576,-82.45614035,22.84482759,25.90393323,16.7266163,26.74367089,-0.0009,1
20220104,45:00.0,4847.6,4852.2,4852.2,4847.6,4.6,22,4849.64,4850.66,4851.91,4853.92,4867.176667,4853.216638,4850.208383,4847.200127,-3.536202711,-4.329257219,0.793054509,46.11304127,37.88437884,-42.10526316,43.67816092,30.79937304,69.43573668,26.72870662,-0.0001,0
20220104,46:00.0,4851,4849.2,4851,4848,-3,29,4849.68,4850.58,4851.29,4853.8,4866.33,4852.850577,4849.872255,4846.893934,-3.403482044,-4.144102184,0.74062014,42.16184872,-25.3968254,-68.42105263,44.92753623,37.15017491,60.48225887,26.73584906,-0.0008,0
20220104,47:00.0,4848.6,4850,4850,4848.6,0.8,34,4849.68,4850.26,4850.85,4853.513333,4865.506667,4852.893158,4849.914837,4846.936515,-3.196894832,-3.954660714,0.757765882,43.55088935,-31.14459993,-63.63636364,62.31884058,50.30817924,86.34016325,26.75862069,0.0002,0
20220104,48:00.0,4850.4,4850,4851.6,4850,0,23,4849.8,4849.86,4850.51,4853.26,4864.693333,4852.915093,4849.943225,4846.971356,-2.998606905,-3.763449952,0.764843047,43.55088935,18.63684771,-63.63636364,46.37681159,51.20772947,36.71497585,26.746875,-0.0002,1
20220104,49:00.0,4850.2,4851.6,4852,4849.4,1.6,27,4850.6,4849.98,4850.21,4852.913333,4863.886667,4852.729761,4850.495483,4848.261205,-2.681445629,-3.547049087,0.865603458,46.52950269,34.66666667,-51.92307692,63.76811594,57.48792271,76.32850242,26.74766355,-0.0003,0
20220104,50:00.0,4852.2,4853.2,4853.6,4852,1.6,13,4850.8,4850.22,4850.21,4852.686667,4863.19,4854.259156,4851.396989,4848.534822,-2.274764337,-3.292592137,1.0178278,49.40460123,121.1955531,-40.42553191,77.32919255,62.49137336,107.0048309,26.70496894,-0.0007,0
20220104,51:00.0,4853.6,4855.2,4856.6,4853.6,2,6,4852,4850.84,4850.45,4852.693333,4862.58,4856.648627,4852.664659,4848.680691,-1.770671994,-2.988208109,1.217536115,52.81963133,215.4026452,-15.55555556,87.4378882,76.1783989,109.9568668,26.64086687,-0.0006,0
20220104,52:00.0,4855.6,4856.2,4856.8,4855,1,23,4853.24,4851.46,4850.94,4852.786667,4862.066667,4858.385528,4853.843106,4849.300684,-1.275777173,-2.645721921,1.369944749,54.47424041,209.0934685,-6.52173913,89.08301158,84.61669744,98.01563986,26.62962963,0.0006,0
20220104,53:00.0,4858,4859.2,4859.2,4856,3,19,4855.08,4852.44,4851.53,4852.86,4861.53,4860.835502,4855.628737,4850.421973,-0.634184054,-2.243414348,1.609230294,59.10747162,190.4761905,0,91.46396396,89.32828792,95.73531606,26.60615385,0.0002,0
20220104,54:00.0,4859.8,4857,4860,4856,-2.2,34,4856.16,4853.38,4851.81,4852.773333,4860.966667,4860.048854,4856.085825,4852.122796,-0.299782789,-1.854688036,1.554905247,54.71021976,132.7787022,-24.19354839,84.7972973,88.44809095,77.49571,26.62883436,0.0001,0
20220104,55:00.0,4856.8,4856,4857.2,4855.2,-1,33,4856.72,4853.76,4852.21,4852.526667,4860.383333,4858.788956,4856.057217,4853.325477,-0.114143248,-1.506579079,1.39243583,52.7878585,80.70489845,-32.25806452,66.66666667,80.97597598,38.04804805,26.64831804,0,0
20220104,56:00.0,4856.6,4855,4856.8,4855,-1,17,4856.68,4854.34,4852.46,4852.306667,4859.833333,4858.528709,4855.704811,4852.880913,-0.047170466,-1.214697356,1.16752689,50.86319476,59.11949686,-40.32258065,33.33333333,61.5990991,-23.1981982,26.61890244,-0.0003,1
