,value,trade_price,position_value,cash,signal
2022-02-09 09:34:00,982381.5259999998,4598.0,0.0,982381.5259999998,-1
2022-02-09 09:35:00,982381.5259999998,4597.6,0.0,982381.5259999998,-1
2022-02-09 09:36:00,982381.5259999998,4593.4,0.0,982381.5259999998,-1
2022-02-09 09:37:00,982381.5259999998,4593.0,0.0,982381.5259999998,-1
2022-02-09 09:38:00,982381.5259999998,4586.0,0.0,982381.5259999998,-1
2022-02-09 09:39:00,982381.5259999998,4596.6,0.0,982381.5259999998,0
2022-02-09 09:40:00,982381.5259999998,4600.4,0.0,982381.5259999998,0
2022-02-09 09:41:00,982381.5259999998,4602.2,0.0,982381.5259999998,-1
2022-02-09 09:42:00,982381.5259999998,4602.0,0.0,982381.5259999998,-1
2022-02-09 09:43:00,982381.5259999998,4595.8,0.0,982381.5259999998,-1
2022-02-09 09:44:00,982381.5259999998,4598.0,0.0,982381.5259999998,0
2022-02-09 09:45:00,982381.5259999998,4598.8,0.0,982381.5259999998,0
2022-02-09 09:46:00,982381.5259999998,4602.6,0.0,982381.5259999998,0
2022-02-09 09:47:00,982381.5259999998,4603.6,0.0,982381.5259999998,0
2022-02-09 09:48:00,982381.5259999998,4600.0,0.0,982381.5259999998,0
2022-02-09 09:49:00,982381.5259999998,4596.0,0.0,982381.5259999998,0
2022-02-09 09:50:00,982381.5259999998,4593.6,0.0,982381.5259999998,0
2022-02-09 09:51:00,982381.5259999998,4594.0,0.0,982381.5259999998,-1
2022-02-09 09:52:00,982381.5259999998,4587.6,0.0,982381.5259999998,0
2022-02-09 09:53:00,982381.5259999998,4583.0,0.0,982381.5259999998,0
2022-02-09 09:54:00,982381.5259999998,4582.6,0.0,982381.5259999998,0
2022-02-09 09:55:00,982381.5259999998,4582.0,0.0,982381.5259999998,0
2022-02-09 09:56:00,982185.4848799999,4580.4,980205.6,1979.8848799999105,1
2022-02-09 09:57:00,982485.08488,4581.8,980505.2000000001,1979.8848799999105,0
2022-02-09 09:58:00,982485.08488,4585.0,980505.2000000001,1979.8848799999105,1
2022-02-09 09:59:00,982485.08488,4582.0,980505.2000000001,1979.8848799999105,1
2022-02-09 10:00:00,982399.4848799999,4581.4,980419.6,1979.8848799999105,0
2022-02-09 10:01:00,982399.4848799999,4582.0,980419.6,1979.8848799999105,1
2022-02-09 10:02:00,982356.6848799998,4581.2,980376.7999999999,1979.8848799999105,0
2022-02-09 10:03:00,982356.6848799998,4583.8,980376.7999999999,1979.8848799999105,1
